x,y,z,cosx,cosy,cosz,element,stage,raynum
0.434,0.391,-0.00383,1e-16,-3e-17,-1,65,1,48
-0.0125,-0.0545,1.5,-0.274,-0.273,0.922,-2,1,48
-0.136,0.267,-0.00193,1e-16,0e+00,-1,54,1,49
0.0107,-0.0215,1.5,0.0954,-0.188,0.978,-2,1,49
0.251,-0.266,-0.00489,1e-16,1e-17,-1,29,1,50
-0.0358,0.0234,1.5,-0.184,0.185,0.965,-2,1,50
0.0582,-0.257,-0.00259,1e-16,0e+00,-1,27,1,51
0.0564,0.0352,1.5,-0.00116,0.191,0.982,-2,1,51
-0.117,0.55,-0.00456,1e-16,0e+00,-1,68,1,52
0.0244,-0.042,1.5,0.0872,-0.365,0.927,-2,1,52
0.495,-0.0935,0.00757,1e-16,0e+00,-1,37,1,53
0.0591,0.0553,1.5,-0.279,0.0953,0.955,-2,1,53
0.402,0.746,0.00505,1e-16,0e+00,-1,79,1,54
-0.0531,-0.0223,1.5,-0.261,-0.441,0.859,-2,1,54
-0.0305,-0.0768,1.501,1e-16,0e+00,-1,1,1,55
-0.276,-0.11,-0.00225,1e-16,0e+00,-1,32,1,56
0.0102,0.0284,1.5,0.187,0.0899,0.978,-2,1,56
-0.483,-0.774,0.0232,8e-17,0e+00,-1,3,1,57
-0.0261,-0.0194,1.5,0.266,0.439,0.859,-2,1,57
0.265,0.353,0.00475,1e-16,-1e-17,-1,57,1,58
-0.0225,0.0583,1.5,-0.186,-0.19,0.964,-2,1,58
-0.113,0.489,0.00758,1e-16,0e+00,-1,61,1,59
0.0322,0.0574,1.5,0.0928,-0.277,0.956,-2,1,59
0.477,-0.482,0.0152,1e-16,3e-17,-1,23,1,60
0.0405,-0.0374,1.5,-0.271,0.276,0.922,-2,1,60
-0.394,-0.146,-0.00431,8e-17,0e+00,-1,31,1,61
0.0363,-0.000729,1.5,0.274,0.0921,0.957,-2,1,61
0.324,0.735,0.00969,1e-16,0e+00,-1,78,1,62
0.0276,-0.0233,1.5,-0.174,-0.447,0.878,-2,1,62
0.264,-0.273,-0.00297,1e-16,1e-17,-1,29,1,63
-0.0199,0.0191,1.5,-0.182,0.188,0.965,-2,1,63
-0.419,-0.383,-0.00716,8e-17,3e-17,-1,17,1,64
0.0205,0.0597,1.5,0.269,0.271,0.924,-2,1,64
0.0829,0.0344,1.501,1e-16,0e+00,-1,1,1,65
0.06,-0.0893,1.501,1e-16,0e+00,-1,1,1,66
0.358,0.00328,-0.00971,1e-16,0e+00,-1,44,1,67
0.353,0.00328,0.00652,-0.274,-0.000374,0.962,43,1,67
0.0915,-0.696,-0.0058,1e-16,-3e-17,-1,7,1,68
-0.0586,0.0588,1.5,-0.0888,0.446,0.891,-2,1,68
-0.385,-0.125,-0.00668,8e-17,0e+00,-1,31,1,69
0.054,0.0274,1.5,0.278,0.0965,0.956,-2,1,69
0.0115,-0.0188,1.501,1e-16,0e+00,-1,1,1,70
0.0784,0.722,-0.000288,1e-16,3e-17,-1,77,1,71
-0.0759,-0.0321,1.5,-0.0915,-0.447,0.89,-2,1,71
0.00782,0.0747,1.501,1e-16,0e+00,-1,1,1,72
0.0341,-0.18,0.00178,1e-16,0e+00,-1,34,1,73
0.036,-0.0412,1.5,0.00129,0.092,0.996,-2,1,73
0.474,-0.142,0.00688,1e-16,0e+00,-1,37,1,74
0.0378,0.00219,1.5,-0.279,0.0924,0.956,-2,1,74
-0.443,0.204,0.00536,8e-17,0e+00,-1,45,1,75
-0.00563,0.0554,1.5,0.28,-0.095,0.955,-2,1,75
-0.217,-0.346,-0.000555,1e-16,1e-17,-1,25,1,76
0.0657,-0.0567,1.5,0.182,0.186,0.966,-2,1,76
-0.303,-0.519,-0.00747,1e-16,0e+00,-1,11,1,77
-0.00122,0.0733,1.5,0.183,0.359,0.915,-2,1,77
-0.389,0.617,0.00407,1e-16,-3e-17,-1,66,1,78
0.0539,0.0194,1.5,0.265,-0.358,0.895,-2,1,78
0.118,0.0966,-0.0033,1e-16,-7e-18,-1,49,1,79
-0.0203,-0.0453,1.5,-0.091,-0.0936,0.991,-2,1,79
0.413,-0.329,0.00233,8e-17,0e+00,-1,30,1,80
-0.0192,-0.0375,1.5,-0.272,0.184,0.945,-2,1,80
-0.0995,-0.434,-0.000863,1e-16,0e+00,-1,19,1,81
0.0432,-0.0022,1.5,0.091,0.275,0.957,-2,1,81
0.168,0.644,-0.0145,1e-16,3e-17,-1,77,1,82
0.165,0.63,0.0128,-0.0877,-0.45,0.889,70,1,82
-0.265,0.389,-0.00708,1e-16,0e+00,-1,60,1,83
0.0329,-0.0538,1.5,0.187,-0.277,0.943,-2,1,83
-0.15,-0.425,0.000252,1e-16,0e+00,-1,19,1,84
-0.00788,0.0115,1.5,0.0908,0.278,0.956,-2,1,84
0.301,0.16,0.00241,1e-16,0e+00,-1,50,1,85
0.018,0.0185,1.5,-0.185,-0.0922,0.978,-2,1,85
0.267,-0.479,0.00594,1e-16,0e+00,-1,22,1,86
-0.0231,-0.0357,1.5,-0.183,0.28,0.942,-2,1,86
0.426,-0.267,-0.0016,8e-17,0e+00,-1,30,1,87
-0.0134,0.0232,1.5,-0.276,0.183,0.944,-2,1,87
0.0959,0.506,-0.014,1e-16,0e+00,-1,70,1,88
-0.051,-0.0955,1.5,-0.0898,-0.368,0.926,-2,1,88
0.117,0.562,-0.00231,1e-16,0e+00,-1,70,1,89
-0.028,-0.0334,1.5,-0.0894,-0.367,0.926,-2,1,89
-0.436,-0.321,0.0049,1e-16,0e+00,-1,24,1,90
0.0038,-0.0326,1.5,0.278,0.182,0.943,-2,1,90
0.211,0.276,0.00251,1e-16,0e+00,-1,56,1,91
0.0702,-0.00437,1.5,-0.0918,-0.183,0.979,-2,1,91
0.121,0.251,-0.00418,1e-16,0e+00,-1,56,1,92
-0.0223,-0.0347,1.5,-0.0929,-0.185,0.978,-2,1,92
0.179,0.326,0.00574,1e-16,0e+00,-1,56,1,93
0.0363,0.0468,1.5,-0.0935,-0.183,0.979,-2,1,93
0.249,0.409,-0.00571,1e-16,0e+00,-1,64,1,94
-0.0478,-0.0323,1.5,-0.186,-0.276,0.943,-2,1,94
-0.343,0.308,0.00787,1e-16,-1e-17,-1,53,1,95
-0.0566,0.0147,1.5,0.185,-0.189,0.964,-2,1,95
-0.153,0.347,0.00647,1e-16,0e+00,-1,54,1,96
-0.00357,0.0606,1.5,0.0978,-0.187,0.977,-2,1,96
0.484,0.753,0.0185,1e-16,0e+00,-1,79,1,97
0.0286,-0.00912,1.5,-0.264,-0.441,0.858,-2,1,97
-0.05,-0.527,-0.00784,1e-16,0e+00,-1,13,1,98
-0.054,0.0644,1.5,-0.00245,0.365,0.931,-2,1,98
0.483,-0.216,0.00171,8e-17,0e+00,-1,30,1,99
0.0394,0.0765,1.5,-0.279,0.184,0.942,-2,1,99
-0.451,-0.683,-0.0029,8e-17,0e+00,-1,3,1,100
0.012,0.0804,1.5,0.265,0.437,0.86,-2,1,100
0.285,0.273,-0.000906,1e-16,-1e-17,-1,57,1,101
-0.00561,-0.0116,1.5,-0.187,-0.183,0.965,-2,1,101
-0.329,0.67,-0.00514,1e-16,0e+00,-1,74,1,102
-0.0298,-0.0885,1.5,0.175,-0.443,0.879,-2,1,102
-0.252,0.396,-0.00728,1e-16,0e+00,-1,60,1,103
0.0448,-0.0378,1.5,0.186,-0.272,0.944,-2,1,103
-0.398,0.384,-0.00987,8e-17,-3e-17,-1,59,1,104
0.0539,-0.0653,1.5,0.276,-0.274,0.921,-2,1,104
0.0763,0.673,-0.0118,1e-16,3e-17,-1,77,1,105
-0.0698,-0.0862,1.5,-0.086,-0.447,0.89,-2,1,105
-0.123,0.191,0.00141,1e-16,-7e-18,-1,47,1,106
0.0179,0.0435,1.5,0.0933,-0.0972,0.991,-2,1,106
-0.0501,-0.336,0.00494,1e-16,0e+00,-1,27,1,107
-0.0511,-0.0446,1.5,-0.000644,0.191,0.982,-2,1,107
0.304,0.267,0.000281,1e-16,-1e-17,-1,57,1,108
0.0176,-0.0275,1.5,-0.184,-0.19,0.964,-2,1,108
-0.346,0.587,0.00937,1e-16,0e+00,-1,67,1,109
-0.0513,-0.012,1.5,0.18,-0.366,0.913,-2,1,109
0.47,0.301,0.00783,8e-17,0e+00,-1,58,1,110
0.03,0.0161,1.5,-0.278,-0.18,0.944,-2,1,110
0.117,0.441,0.000942,1e-16,0e+00,-1,63,1,111
-0.0251,0.00551,1.5,-0.0904,-0.278,0.956,-2,1,111
0.382,-0.00955,-0.00626,1e-16,0e+00,-1,44,1,112
-0.0589,-0.0135,1.5,-0.281,-0.00254,0.96,-2,1,112
-0.0377,0.616,0.00912,1e-16,0e+00,-1,69,1,113
-0.0395,0.0325,1.5,-0.00107,-0.365,0.931,-2,1,113
0.454,-0.388,-0.00133,1e-16,3e-17,-1,23,1,114
0.0116,0.0559,1.5,-0.272,0.273,0.923,-2,1,114
-0.315,-0.742,0.0105,1e-16,0e+00,-1,4,1,115
-0.0108,0.00472,1.5,0.18,0.441,0.879,-2,1,115
0.323,-0.0884,0.0012,1e-16,0e+00,-1,36,1,116
0.0395,0.0603,1.5,-0.185,0.097,0.978,-2,1,116
-0.483,0.491,0.0173,8e-17,-3e-17,-1,59,1,117
-0.0499,0.0516,1.5,0.27,-0.273,0.923,-2,1,117
-0.117,0.688,-0.0063,1e-16,3e-17,-1,75,1,118
0.0366,-0.0659,1.5,0.091,-0.446,0.89,-2,1,118
-0.0763,0.665,-0.0137,1e-16,3e-17,-1,75,1,119
0.0688,-0.0961,1.5,0.0853,-0.448,0.89,-2,1,119
0.372,0.0322,-0.0077,1e-16,0e+00,-1,44,1,120
-0.0673,0.0341,1.5,-0.28,0.00121,0.96,-2,1,120
0.342,0.358,-0.00409,1e-16,0e+00,-1,64,1,121
0.0545,-0.0821,1.5,-0.181,-0.276,0.944,-2,1,121
-0.455,0.7,0.00181,8e-17,0e+00,-1,73,1,122
0.0067,-0.0599,1.5,0.265,-0.436,0.86,-2,1,122
0.092,-0.473,0.00436,1e-16,0e+00,-1,21,1,123
-0.0531,-0.0396,1.5,-0.0927,0.277,0.956,-2,1,123
0.0827,0.693,-0.00687,1e-16,3e-17,-1,77,1,124
-0.0692,-0.0588,1.5,-0.0898,-0.445,0.891,-2,1,124
0.035,0.0383,1.501,1e-16,0e+00,-1,1,1,125
0.165,-0.228,-0.00421,1e-16,0e+00,-1,28,1,126
0.0148,0.0566,1.5,-0.0973,0.185,0.978,-2,1,126
0.472,0.119,0.0055,1e-16,0e+00,-1,51,1,127
0.0417,-0.025,1.5,-0.276,-0.0923,0.957,-2,1,127
0.0855,-0.421,-0.00345,1e-16,0e+00,-1,21,1,128
-0.056,0.0169,1.5,-0.09,0.278,0.956,-2,1,128
0.216,0.596,-0.00121,1e-16,0e+00,-1,71,1,129
-0.0817,-0.00156,1.5,-0.181,-0.363,0.914,-2,1,129
-0.18,0.0762,-0.00129,1e-16,-7e-18,-1,47,1,130
-0.0327,-0.0675,1.5,0.0976,-0.0948,0.991,-2,1,130
0.0312,-0.363,-0.00899,1e-16,0e+00,-1,20,1,131
0.0365,0.0776,1.5,0.00335,0.28,0.96,-2,1,131
-0.0344,0.31,0.00246,1e-16,0e+00,-1,55,1,132
-0.0291,0.0256,1.5,0.00347,-0.187,0.982,-2,1,132
0.489,0.256,0.00632,8e-17,0e+00,-1,58,1,133
0.054,-0.0366,1.5,-0.275,-0.185,0.944,-2,1,133
-0.468,0.503,-0.00618,1e-16,-3e-17,-1,66,1,134
-0.462,0.495,0.0149,0.27,-0.358,0.894,59,1,134
-0.0597,-0.697,-0.00297,1e-16,0e+00,-1,6,1,135
-0.0616,0.0604,1.5,-0.00115,0.45,0.893,-2,1,135
0.465,-0.593,0.0102,8e-17,3e-17,-1,16,1,136
0.0186,-0.00216,1.5,-0.268,0.355,0.896,-2,1,136
-0.39,0.206,-0.00204,8e-17,0e+00,-1,45,1,137
0.0453,0.0677,1.5,0.277,-0.0883,0.957,-2,1,137
-0.31,-0.672,-0.00651,1e-16,0e+00,-1,4,1,138
-0.00353,0.0972,1.5,0.178,0.447,0.876,-2,1,138
0.175,0.586,0.00486,1e-16,0e+00,-1,70,1,139
0.034,-0.00116,1.5,-0.0873,-0.364,0.927,-2,1,139
-0.442,-0.264,0.000416,1e-16,0e+00,-1,24,1,140
-0.00565,0.0335,1.5,0.275,0.187,0.943,-2,1,140
0.471,-0.289,0.00685,8e-17,0e+00,-1,30,1,141
0.0382,-0.00189,1.5,-0.274,0.182,0.944,-2,1,141
0.299,0.433,0.00246,1e-16,0e+00,-1,64,1,142
0.00866,-0.00329,1.5,-0.183,-0.275,0.944,-2,1,142
-0.394,0.223,-0.0102,1e-16,0e+00,-1,52,1,143
0.0486,-0.0778,1.5,0.276,-0.188,0.942,-2,1,143
-0.0925,-0.685,-0.00814,1e-16,-3e-17,-1,5,1,144
0.0618,0.0698,1.5,0.0911,0.446,0.89,-2,1,144
